id,name,state,url,active,errorCount,status,httpCode,suggestedAction,suggestedUrl,errorMessage
"cmkytxb3n000p28wqpzzdqeug","El Heraldo de Aguascalientes","Aguascalientes","https://www.heraldo.mx/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxb3q000q28wqmcxyfc44","Hidrocálido Digital","Aguascalientes","https://www.hidrocalidodigital.com/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxb3s000r28wq2nnr33hm","LJA.MX Aguascalientes","Aguascalientes","https://www.lja.mx/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxb43000v28wq7br5i446","El Imparcial BC","Baja California","https://www.elimparcial.com/rss.xml",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxb3v000s28wqj7jpc1dz","El Mexicano","Baja California","https://www.el-mexicano.com.mx/feed/",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxbdx004b28wq3n4hzmc6","El Sol de Tijuana","Baja California","https://www.elsoldetijuana.com.mx/rss.xml",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.elsoldetijuana.com.mx/feed","Found 6 potential feeds: https://www.elsoldetijuana.com.mx/feed, https://www.elsoldetijuana.com.mx/feed/, https://www.elsoldetijuana.com.mx/rss"
"cmkytxbeb004e28wq78090v9t","El Vigía Ensenada","Baja California","https://www.elvigia.net/feed/",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxb3y000t28wqz2i77637","Frontera","Baja California","https://www.frontera.info/rss.xml",false,10,"UNKNOWN",403,"INVESTIGATE","","HTTP 403"
"cmkytxbe2004c28wqzx0pn21r","Frontera Tijuana","Baja California","https://www.frontera.info/tijuana/feed/",false,10,"UNKNOWN",403,"INVESTIGATE","","HTTP 403"
"cmkytxbe6004d28wqi998vtfm","La Voz de la Frontera","Baja California","https://www.lavozdelafrontera.com.mx/rss.xml",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.lavozdelafrontera.com.mx/feed","Found 6 potential feeds: https://www.lavozdelafrontera.com.mx/feed, https://www.lavozdelafrontera.com.mx/feed/, https://www.lavozdelafrontera.com.mx/rss"
"cmkytxb40000u28wqoxmi69wk","Semanario Zeta","Baja California","https://zetatijuana.com/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxb46000w28wq30dvsynt","Uniradio Noticias","Baja California","https://www.uniradionoticias.com/feed/",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.uniradiosonora.com/feed/","Found 6 potential feeds: https://www.uniradiosonora.com/feed/, https://www.uniradiosonora.com/feed, https://www.uniradiosonora.com/rss"
"cmkytxb4b000y28wqc05ekclg","BCS Noticias","Baja California Sur","https://www.bcsnoticias.mx/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxb4e000z28wqxjl8onzo","Diario El Independiente","Baja California Sur","https://www.diarioelindependiente.mx/feed/",true,0,"REDIRECT",200,"UPDATE_URL","https://www.diarioelindependiente.mx/feed",""
"cmkytxbee004f28wqwk2qxvcj","El Informante BCS","Baja California Sur","https://elinformantebcs.mx/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxb49000x28wqi1w61c35","El Sudcaliforniano","Baja California Sur","https://www.elsudcaliforniano.com.mx/rss.xml",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.elsudcaliforniano.com.mx/feed","Found 6 potential feeds: https://www.elsudcaliforniano.com.mx/feed, https://www.elsudcaliforniano.com.mx/feed/, https://www.elsudcaliforniano.com.mx/rss"
"cmkytxbei004g28wq6lazs0un","Tribuna de Los Cabos","Baja California Sur","https://www.tribunadeloscabos.com.mx/feed/",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxb4j001128wqgtw0w109","Campeche HOY","Campeche","https://campechehoy.mx/feed/",false,10,"UNKNOWN",,"INVESTIGATE","","fetch failed"
"cmkytxb4m001228wqum5fv6b6","Portal Campeche","Campeche","https://portalcampeche.com/feed/",false,10,"UNKNOWN",,"INVESTIGATE","","fetch failed"
"cmkytxb4h001028wq5zsnz25w","Tribuna Campeche","Campeche","https://tribunacampeche.com/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxbem004h28wqugqlsjhz","Alerta Chiapas","Chiapas","https://alertachiapas.com/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxbep004i28wqnwjq9cmu","Aquí Noticias","Chiapas","https://aquinoticias.mx/feed/",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://aquinoticias.mx/feed","Found 6 potential feeds: https://aquinoticias.mx/feed, https://aquinoticias.mx/feed/, https://aquinoticias.mx/rss"
"cmkytxb4t001528wq78oy0xoo","Cuarto Poder Chiapas","Chiapas","https://www.cuartopoder.mx/feed/",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.cuartopoder.mx/feedgooglenews/nacional","Found 11 potential feeds: https://www.cuartopoder.mx/feedgooglenews/nacional, https://www.cuartopoder.mx/feedgooglenews/chiapas, https://www.cuartopoder.mx/feedgooglenews/deportes"
"cmkytxb4r001428wqmtddoknp","Diario de Chiapas","Chiapas","https://www.diariodechiapas.com/feed/",true,0,"REDIRECT",200,"UPDATE_URL","https://diariodechiapas.com/feed/",""
"cmkytxb4p001328wqi9s312kh","El Heraldo de Chiapas","Chiapas","https://www.elheraldodechiapas.com.mx/rss.xml",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.elheraldodechiapas.com.mx/feed","Found 6 potential feeds: https://www.elheraldodechiapas.com.mx/feed, https://www.elheraldodechiapas.com.mx/feed/, https://www.elheraldodechiapas.com.mx/rss"
"cmkytxb4w001628wq4a67ctgp","NVI Noticias Chiapas","Chiapas","https://www.nvinoticias.com/feed/",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxb50001828wq8l19vgek","El Diario de Chihuahua","Chihuahua","https://diario.mx/feed/",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://diario.mx/rss/feed.xml","Found 7 potential feeds: https://diario.mx/rss/feed.xml, https://diario.mx/feed, https://diario.mx/feed/"
"cmkytxbes004j28wq9vnj8jih","El Diario de Juárez","Chihuahua","https://diario.mx/juarez/feed/",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://diario.mx/rss/feed.xml","Found 7 potential feeds: https://diario.mx/rss/feed.xml, https://diario.mx/feed, https://diario.mx/feed/"
"cmkytxb4y001728wq2mv7mnuo","El Heraldo de Chihuahua","Chihuahua","https://www.elheraldodechihuahua.com.mx/rss.xml",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.elheraldodechihuahua.com.mx/feed","Found 6 potential feeds: https://www.elheraldodechihuahua.com.mx/feed, https://www.elheraldodechihuahua.com.mx/feed/, https://www.elheraldodechihuahua.com.mx/rss"
"cmkytxb53001928wqlbf4llnc","El Pueblo","Chihuahua","https://elpueblo.com/feed/",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://elpueblo.com/rss/feed.xml","Found 7 potential feeds: https://elpueblo.com/rss/feed.xml, https://elpueblo.com/feed, https://elpueblo.com/feed/"
"cmkytxb55001a28wqwdlwghyu","Net Noticias Chihuahua","Chihuahua","https://netnoticias.mx/feed/",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxbev004k28wqtqlk5w13","Net Noticias Juárez","Chihuahua","https://netnoticias.mx/juarez/feed/",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxb5q001j28wqwqeqzsfa","24 Horas","Ciudad de México","https://www.24-horas.mx/feed/",false,10,"REDIRECT",200,"UPDATE_URL","https://24-horas.mx/feed/",""
"cmkytxb5t001k28wqf5n5sx9u","Chilango","Ciudad de México","https://www.chilango.com/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxb5o001i28wqqa5bnnag","La Prensa CDMX","Ciudad de México","https://www.la-prensa.com.mx/feed/",false,10,"HTML_NOT_RSS",200,"UPDATE_URL","https://www.la-prensa.com.mx/feed","Found 6 potential feeds: https://www.la-prensa.com.mx/feed, https://www.la-prensa.com.mx/feed/, https://www.la-prensa.com.mx/rss"
"cmkytxb5v001l28wqzuo97447","Más por Más CDMX","Ciudad de México","https://www.maspormas.com/feed/",true,0,"OK",200,"KEEP","",""
"cmkytxbey004l28wqhi1s09gq","El Diario de Coahuila Saltillo","Coahuila","https://www.eldiariodecoahuila.com.mx/feed/",false,10,"UNKNOWN",403,"INVESTIGATE","","HTTP 403"
"cmkytxb5c001d28wqfjw2011d","El Siglo de Torreón","Coahuila","https://www.elsiglodetorreon.com.mx/feed/",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxb5f001e28wqoje3824r","Milenio Laguna","Coahuila","https://www.milenio.com/region/laguna/rss",false,10,"NOT_FOUND",404,"DELETE","","Feed not found (404)"
"cmkytxbf2004m28wqn4bmrha1","Noticias del Sol de la Laguna","Coahuila","https://www.noticiasdelsol.com.mx/feed/",false,10,"UNKNOWN",,"INVESTIGATE","","fetch failed"
