id,name,url,tier,type,state,active,errorCount
"cmkytxbbh003m28wqwqeuezgv","Tabasco Hoy","https://www.tabascohoy.com/feed/",2,"STATE","Tabasco",true,1
"cmkytxbi2005s28wqqrjlfrnb","El Bravo Matamoros","https://www.elbravo.mx/feed/",2,"STATE","Tamaulipas",true,0
"cmkytxbc3003s28wqy2jvwisy","Gaceta","https://gaceta.mx/feed/",2,"STATE","Tamaulipas",true,0
"cmlip9z5j000f69qmv3nz95er","Hora Cero","https://www.horacero.com.mx/feed/",2,"STATE","Tamaulipas",true,0
"cmkytxbhw005q28wqwcgmmuji","Hora Cero Tamaulipas","https://horacero.com.mx/feed",2,"STATE","Tamaulipas",true,0
"cmliq96lp000t699yqch2se56","El Sol de Tlaxcala","https://www.elsoldetlaxcala.com.mx/rss",2,"STATE","Tlaxcala",true,0
"cmkytxbcd003v28wqotr0szos","Quadratín Tlaxcala","https://tlaxcala.quadratin.com.mx/feed/",2,"STATE","Tlaxcala",true,0
"cmliq95bu0009699y7uoyz7or","Diario de Xalapa","https://www.diariodexalapa.com.mx/rss",2,"STATE","Veracruz",true,0
"cmliq95dt000a699yfk2r7ssb","El Sol de Córdoba","https://www.elsoldecordoba.com.mx/rss",2,"STATE","Veracruz",true,0
"cmliq95fv000b699yuar4o06t","El Sol de Orizaba","https://www.elsoldeorizaba.com.mx/rss",2,"STATE","Veracruz",true,0
"cmkytxbip005z28wq61a292zb","La Opinión de Poza Rica","https://laopinion.net/feed/",2,"STATE","Veracruz",true,0
"cmlip9z9g000g69qmi3y5m6y9","Diario de Yucatán","https://www.yucatan.com.mx/feed/",2,"STATE","Yucatán",true,0
"cmkytxbd5004228wqka9utkdk","Diario de Yucatán","https://www.yucatan.com.mx/feed",2,"STATE","Yucatán",true,0
"cmkytxbis006028wqyfy6ibtz","El Diario de Yucatán Mérida","https://www.yucatan.com.mx/merida/feed",2,"STATE","Yucatán",true,0
